"scientific_name","hosts"
"Pammene fasciana","Castanea sativa (chestnut), Fagus sylvatica (common beech), Quercus cerris (European Turkey oak), Quercus petraea (durmast oak), Quercus pubescens (downy oak), Quercus robur (common oak), Quercus suber (cork oak)"
"Aphis gossypii","Abelmoschus, Abelmoschus esculentus (okra), Acalypha australis, Ageratum conyzoides (billy goat weed), Alhagi, Allamanda cathartica (yellow allamanda), Allium cepa, Allium sativum, Alpinia purpurata (red ginger), Alternanthera sessilis (sessile joyweed), Anacardium occidentale (cashew nut), Anchusa (Bugloss), Annona cherimola (soursop), Annona muricata, Aphelandra squarrosa (Zebra plant), Apium graveolens (celery), Arachis hypogaea, Aristida adscensionis, Aristolochia albida, Asclepias (Silkweed), Averrhoa carambola (carambola), Bauhinia variegata (mountain ebony), Benincasa hispida (wax gourd), Beta vulgaris var. saccharifera (sugarbeet), Bidens pilosa (blackjack), Brassica, Brassica napus var. napus, Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. gongylodes (kohlrabi), Brassica rapa subsp. oleifera (turnip rape), Butea, Cajanus cajan (pigeon pea), Calendula (marigolds), Calendula officinalis (Pot marigold), Callicarpa japonica, Callistephus chinensis (China aster), Capsella bursa-pastoris (shepherd's purse), Capsicum (peppers), Capsicum annuum (bell pepper), Capsicum frutescens (chilli), Carica papaya (pawpaw), Caryocar brasiliense, Catalpa bignonioides (Southern catalpa), Catharanthus roseus (Madagascar periwinkle), Cayratia japonica (Sorrel vine), Celastrus orbiculatus (Asiatic bittersweet), Cestrum nocturnum (night jessamine), Chenopodium album, Chenopodium quinoa (quinoa), Chromolaena odorata (Siam weed), Chrysanthemum (daisy), Chrysanthemum morifolium (chrysanthemum (florists&apos;)), Citrullus, Citrullus lanatus (watermelon), Citrus, Citrus aurantiifolia (lime), Citrus aurantium (sour orange), Citrus limon (lemon), Citrus reticulata (mandarin), Citrus sinensis (sweet orange), Citrus unshiu (satsuma), Citrus x paradisi (grapefruit), Cleome gynandra, Clerodendrum (Fragrant clerodendron), Coccinia grandis (scarlet-fruited ivy gourd), Cocos nucifera, Coleostephus myconis, Colocasia esculenta (taro), Commelina communis (common dayflower), Commelina diffusa (spreading dayflower), Corchorus (jutes), Corchorus olitorius (jute), Coriandrum sativum (coriander), Cosmos bipinnatus (garden cosmos), Cucumis (melons, cucuimbers, gerkins), Cucumis melo (melon), Cucumis sativus (cucumber), Cucurbita (pumpkin), Cucurbita maxima (giant pumpkin), Cucurbita moschata (pumpkin), Cucurbita pepo (marrow), Curcuma longa (turmeric), Cyathula prostrata (pasture weed), Cyclamen persicum (cyclamens), Cyperus rotundus (purple nutsedge), Datura (thorn-apple), Daucus carota (carrot), Dianthus caryophyllus (carnation), Diospyros kaki (persimmon), Diospyros virginiana, Eriobotrya japonica (loquat), Euonymus japonicus (Japanese spindle tree), Euphorbia hirta (garden spurge), Fagopyrum esculentum (buckwheat), Fragaria (strawberry), Fragaria ananassa (strawberry), Gardenia jasminoides (cape jasmine), Gazania (treasure-flower), Glycine max (soyabean), Gossypium (cotton), Gossypium barbadense (Gallini cotton), Gossypium herbaceum, Gossypium hirsutum (Bourbon cotton), Guizotia abyssinica (niger), Hebe, Helianthus annuus (sunflower), Hibiscus (rosemallows), Hibiscus cannabinus (kenaf), Hibiscus mutabilis (cottonrose), Hibiscus rosa-sinensis (China-rose), Hibiscus sabdariffa (Roselle), Hibiscus syriacus (shrubby althaea), Indigofera (indigo), Ipomoea batatas (sweet potato), Ipomoea eriocarpa, Ixora, Ixora coccinea (flame-of-the-woods), Jasminum sambac (Arabian jasmine), Lactuca sativa (lettuce), Lagenaria siceraria (bottle gourd), Lantana, Lantana camara (lantana), Lathyrus sativus (grass pea), Lawsonia (Lythraceae), Levisticum officinale (lovage), Lilium (lily), Lilium longiflorum (Easter lily), Lindernia crustacea (Malaysian false pimpernel), Litchi chinensis, Ludwigia perennis, Luffa acutangula (angled luffa), Lupinus angustifolius, Macadamia, Malus domestica (apple), Malus halliana, Malva (mallow), Mangifera indica (mango), Manilkara zapota (sapodilla), Martynia annua (tiger's claw), Medicago sativa (medic), Melaleuca alternifolia, Melastoma malabathricum (Banks melastoma), Momordica charantia (bitter gourd), Moringa oleifera (horse radish tree), Musa (banana), Musa acuminata, Musa textilis, Musa x paradisiaca, Nicotiana tabacum (tobacco), Ocimum basilicum (basil), Ocimum tenuiflorum (holy basil), Passiflora edulis (passionfruit), Passiflora foetida, Pennisetum purpureum (elephant grass), Persea americana (avocado), Petunia hybrida, Phaseolus vulgaris (common bean), Phenax sonneratii, Phoenix dactylifera, Phyllanthus niruri (seed-under-the-leaf), Piper betle (betel pepper), Piper nigrum (black pepper), Pisum sativum (pea), Plantago lanceolata (ribwort plantain), Polyalthia longifolia (debdar), Polygonum (knotweed), Polygonum barbatum (knot grass), Portulaca oleracea (purslane), Prunus armeniaca (apricot), Prunus persica (peach), Prunus salicina (Japanese plum), Psidium guajava (guava), Pulsatilla grandis (greater pasque flower), Punica granatum (pomegranate), Pyracantha fortuneana (Firethorn), Pyrus communis (European pear), Pyrus pyrifolia (Oriental pear tree), Rhamnus japonica, Rosa (roses), Rosa canina (Dog rose), Rumex (Dock), Saccharum officinarum (sugarcane), Salvia splendens (scarlet sage), Schefflera arboricola, Sechium edule (chayote), Senecio vulgaris, Sesamum indicum (sesame), Sesamum radiatum, Sida acuta (sida), Silybum marianum (variegated thistle), Solanum (nightshade), Solanum americanum, Solanum carolinense (horsenettle), Solanum integrifolium, Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum tuberosum (potato), Spinacia oleracea (spinach), Stachytarpheta indica, Synedrella nodiflora (synedrella), Syzygium cumini (black plum), Tagetes erecta (Mexican marigold), Tagetes patula (French marigold), Theobroma cacao (cocoa), Thunbergia erecta (bush clockvine), Trichosanthes cucumerina (snake gourd), Trichosanthes dioica (pointed gourd), Tridax procumbens (coat buttons), Trifolium alexandrinum (Berseem clover), Urena lobata (caesar weed), Veronica polita, Viburnum, Vicia faba var. major, Vicia faba var. minuta, Vigna mungo, Vigna radiata (mung bean), Vigna unguiculata (cowpea), Vitex negundo, Vitis vinifera (grapevine), Woodfordia, Zea mays (maize), Zinnia, Zinnia elegans (zinnia)"
"Azolla pinnata","Native aquatic plants (will vary based on where the species is introduced)"
"Bactericera cockerelli","Capsicum (peppers), Capsicum annuum (bell pepper), Convolvulus arvensis (bindweed), Datura stramonium (jimsonweed), Ipomoea batatas (sweet potato), Ipomoea purpurea (tall morning glory), Lycium (boxthorn), Lycium andersonii, Lycium barbarum (Matrimonyvine), Lycium exsertum, Lycium ferocissimum (African boxthorn), Lycium fremontii, Lycium macrodon, Lycium pallidum, Lycium parishii, Lycium torreyi, Nicandra physalodes (apple of Peru), Nicotiana alata (sweet-scented tobacco), Nicotiana glauca (tree tobacco), Nicotiana tabacum (tobacco), Nierembergia hippomanica, Physalis (Groundcherry), Physalis angulata (cutleaf groundcherry), Physalis heterophylla, Physalis ixocarpa, Physalis longifolia, Physalis virginiana var. sonorae, Quincula lobata, Solanum (nightshade), Solanum aviculare (kangaroo apple), Solanum capsicastrum, Solanum dulcamara (bittersweet nightshade), Solanum elaeagnifolium (silverleaf nightshade), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum pseudocapsicum (Jerusalem-cherry), Solanum tuberosum (potato)"
"Coptotermes formosanus","Acer rubrum (red maple), Chamaecyparis thyoides (Atlantic white cedar), Cinnamomum camphora (camphor laurel), Citrus, Eucalyptus, Fraxinus berlandieriana, Helianthus annuus (sunflower), Ixora, Liquidambar styraciflua (Sweet gum), Picea engelmannii (Engelmann spruce), Pinus (pines), Quercus (oaks), Saccharum officinarum (sugarcane), Taxodium distichum (bald cypress)"
"Mamestra brassicae","Allium, Allium cepa (onion), Allium sativum (garlic), Aquilegia vulgaris, Barbarea vulgaris (common wintercress (UK)), Beta vulgaris var. saccharifera (sugarbeet), Brassica, Brassica napus, Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. botrytis (cauliflower), Brassica oleracea var. capitata (cabbage), Brassica oleracea var. gemmifera (Brussels sprouts), Brassica oleracea var. gongylodes (kohlrabi), Brassica oleracea var. italica (broccoli), Brassica oleracea var. viridis (collards), Brassica oleracea var. viridis (collards), Brassica rapa (field mustard), Bryonia alba (white bryony), Calendula officinalis (Pot marigold), Callistephus chinensis (China aster), Capsicum (peppers), Capsicum annuum (bell pepper), Chrysanthemum (daisy), Cucurbita pepo (marrow), Dianthus caryophyllus (carnation), Fagus (beeches), Fragaria (strawberry), Glycine max (soyabean), Helianthus annuus (sunflower), Humulus lupulus (hop), Hyoscyamus niger (black henbane), Hyssopus officinalis (Hyssop), Lactuca sativa (lettuce), Larix (larches), Linum usitatissimum (flax), Malus domestica (apple), Medicago sativa (lucerne), Nicotiana, Nicotiana rustica (wild tobacco), Nicotiana tabacum (tobacco), Phaseolus (beans), Phaseolus vulgaris (common bean), Pisum sativum (pea), Plantago major (broad-leaved plaintain), Prunus persica (peach), Prunus salicina (Japanese plum), Quercus (oaks), Raphanus sativus (radish), Rheum rhaponticum, Rosa (roses), Rudbeckia (coneflower), Rumex acetosa (sour dock), Salix (willows), Silene chalcedonica, Silene latifolia subsp. alba (white campion), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Spinacia oleracea (spinach), Trifolium repens (white clover), Vicia faba (faba bean), Vitis vinifera (grapevine), Zea mays (maize)"
"Ctenarytaina eucalypti","Eucalyptus, Eucalyptus angulosa, Eucalyptus cinerea, Eucalyptus dunnii (Dunn's white gum), Eucalyptus globulus (Tasmanian blue gum), Eucalyptus leucoxylon, Eucalyptus neglecta, Eucalyptus perriniana, Eucalyptus pulverulenta"
"Acrolepiopsis assectella","Allium, Allium ampeloprasum (wild leek), Allium cepa (onion), Allium cepa var. aggregatum (shallot), Allium fistulosum (Welsh onion), Allium porrum (leek), Allium sativum (garlic), Allium schoenoprasum (chives)"
"Ralstonia syzygii subsp. celebesensis","Musa (banana), Musa acuminata (wild banana)"
"Leptinotarsa decemlineata","Hyoscyamus niger (black henbane), Malus domestica (apple), Nicotiana tabacum (tobacco), Solanaceae, Solanum (nightshade), Solanum elaeagnifolium (silverleaf nightshade), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum rostratum (prickly nightshade), Solanum tuberosum (potato)"
