"scientific_name"
"Abutilon theophrasti"
"Acacia auriculiformis"
"Acacia mangium"
"Acacia nilotica"
"Acer rufinerve"
"Acidovorax citrulli"
"Acrolepiopsis assectella"
"Ageratum conyzoides"
"Albizia julibrissin"
"Albizia procera"
"Aleurodicus dispersus"
"Allium porrum"
"Alocasia macrorrhizos"
"Aloe vera"
"Anguina agrostis"
"Anguina tritici"
"Annona cherimola"
"Annona muricata"
"Annona squamosa"
"Aphelenchoides arachidis"
"Aphelenchoides besseyi"
"Aphelenchoides fragariae"
"Aphelenchoides ritzemabosi"
"Aphis citricidus"
"Aphis gossypii"
"Aphis spiraecola"
"Apiognomonia errabunda"
"Apiognomonia erythrostoma"
"Aproceros leucopoda"
"Argyrotaenia ljungiana"
"Armillaria luteobubalina"
"Arracacia xanthorrhiza"
"Arthraxon hispidus"
"Artocarpus heterophyllus"
"Arundo donax"
"Asparagus densiflorus"
"Austropuccinia psidii"
"Autographa gamma"
"Averrhoa carambola"
"Azadirachta indica"
"Azolla pinnata"
"Bactericera cockerelli"
"Baileyothrips limbatus"
"Bambusa vulgaris"
"Belonolaimus longicaudatus"
"Berkeleyomyces basicola"
"Bidens pilosa"
"Blighia sapida"
"Botryosphaeria berengeriana f.sp. pyricola"
"Brassica juncea"
"Brassica nigra"
"Brenneria salicis"
"Bromus inermis"
"Bursaphelenchus xylophilus"
"Candidatus Liberibacter asiaticus"
"Canna indica"
"Cannabis sativa"
"Capsella bursa-pastoris"
"Carthamus oxyacanthus"
"Cassia fistula"
"Casuarina equisetifolia"
"Centella asiatica"
"Ceratitis rosa"
"Ceratocystis fagacearum"
"Ceratocystis fimbriata"
"Ceratocystis platani"
"Cernuella virgata"
"Ceroplastes rubens"
"Ceroplastes sinensis"
"Cheilocostus speciosus"
"Chenopodiastrum murale"
"Chenopodium album"
"Chloris barbata"
"Chrysodeixis chalcites"
"Cinnamomum camphora"
"Cinnamomum verum"
"Citrus aurantiifolia"
"Coccinella septempunctata"
"Coccinia grandis"
"Colletotrichum queenslandicum"
"Colletotrichum tropicale"
"Colocasia esculenta"
"Commelina benghalensis"
"Commelina diffusa"
"Coniothyrium glycines"
"Conium maculatum"
"Coptotermes formosanus"
"Corymbia citriodora"
"Cosmos caudatus"
"Crataegus monogyna"
"Crumenulopsis sororia"
"Cryphonectria parasitica"
"Cryptoblabes gnidiella"
"Ctenarytaina eucalypti"
"Cuphea hyssopifolia"
"Cupressus sempervirens"
"Curculio elephas"
"Cuscuta campestris"
"Cuscuta europaea"
"Cymbopogon citratus"
"Cynodon nlemfuensis"
"Cyperus iria"
"Cyperus rotundus"
"Cyrtomium falcatum"
"Cytisus scoparius"
"Dalbergia sissoo"
"Datura innoxia"
"Datura stramonium"
"Daucus carota"
"Dendroctonus pseudotsugae"
"Dendrolimus pini"
"Didymella fabae"
"Digitaria eriantha"
"Digitaria sanguinalis"
"Dioscorea alata"
"Dioscorea bulbifera"
"Dioscorea cayenensis"
"Diplodia seriata"
"Ditylenchus africanus"
"Ditylenchus angustus"
"Ditylenchus destructor"
"Ditylenchus gigas"
"Drosophila suzukii"
"Dryocoetes confusus"
"Eclipta prostrata"
"Ehrharta erecta"
"Elaeagnus angustifolia"
"Elaeagnus pungens"
"Elaeis guineensis"
"Eleocharis dulcis"
"Elytroteinus geophilus"
"Emex australis"
"Eragrostis cilianensis"
"Eragrostis curvula"
"Eriobotrya japonica"
"Erionota thrax"
"Eriosoma lanigerum"
"Erwinia pyrifoliae"
"Erythrina poeppigiana"
"Eucalyptus cladocalyx"
"Eucalyptus saligna"
"Euonymus japonicus"
"Euphorbia esula"
"Euphorbia heterophylla"
"Euphorbia hirta"
"Eupoecilia ambiguella"
"Eurytoma amygdali"
"Euwallacea destruens"
"Euwallacea fornicatus"
"Euwallacea perbrevis"
"Euwallacea piceus"
"Ficus auriculata"
"Ficus carica"
"Forficula auricularia"
"Frankliniella australis"
"Fusarium oxysporum f.sp. vasinfectum"
"Fusarium xylarioides"
"Galium aparine"
"Galleria mellonella"
"Gibberella circinata"
"Gibberella indica"
"Gliricidia sepium"
"Globodera pallida"
"Globodera rostochiensis"
"Globodera tabacum"
"Gossypium barbadense"
"Grapevine flavescence doree phytoplasma"
"Grevillea robusta"
"Guignardia citricarpa"
"Helianthus annuus"
"Heliconia bihai"
"Helicotylenchus multicinctus"
"Helicoverpa armigera"
"Helicoverpa zea"
"Heterobasidion annosum"
"Heterobasidion annosum sensu lato"
"Heterodera ciceri"
"Heterodera glycines"
"Heterodera goettingiana"
"Hibiscus cannabinus"
"Hibiscus rosa-sinensis"
"Hydrilla verticillata"
"Hylocereus undatus"
"Hylurgops palliatus"
"Hylurgus ligniperda"
"Hypothenemus hampei"
"Imperata cylindrica"
"Indigofera hirsuta"
"Indigofera tinctoria"
"Ipomoea aquatica"
"Ipomoea quamoclit"
"Ips cembrae"
"Ips subelongatus"
"Ips typographus"
"Jasminum multiflorum"
"Jatropha curcas"
"Jubaea chilensis"
"Juniperus virginiana"
"Kabatiella zeae"
"Kalanchoe delagoensis"
"Kalanchoe pinnata"
"Kydia calycina"
"Lagerstroemia indica"
"Lamium amplexicaule"
"Leptinotarsa decemlineata"
"Leptographium procerum"
"Leucaena leucocephala"
"Ligustrum sinense"
"Limacus flavus"
"Lobesia botrana"
"Luffa acutangula"
"Luffa aegyptiaca"
"Lymantria dispar"
"Lymantria dispar dispar"
"Macrocopturus aguacatae"
"Maize streak virus"
"Mamestra brassicae"
"Manilkara zapota"
"Megathyrsus maximus"
"Melia azedarach"
